"","path","filename","trait","sample_size","ncase","ncontrol","nsnp","id","category","sex","newfile"
"505","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32759.metal.pos.txt.gz.tab","X-11442",7142,NA,NA,2545468,515,"Metabolites","Males and females","metabolites__x11442.txt.gz"
"439","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M27710.metal.pos.txt.gz.tab","N-acetylglycine",7135,NA,NA,2545572,449,"Metabolites","Males and females","metabolites__nacetylglycine.txt.gz"
"460","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32346.metal.pos.txt.gz.tab","Glycochenodeoxycholate",7087,NA,NA,2545325,470,"Metabolites","Males and females","metabolites__glycochenodeoxycholate.txt.gz"
"502","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32755.metal.pos.txt.gz.tab","X-11438",7084,NA,NA,2546055,512,"Metabolites","Males and females","metabolites__x11438.txt.gz"
"662","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34732.metal.pos.txt.gz.tab","Isovalerate",7080,NA,NA,2545504,672,"Metabolites","Males and females","metabolites__isovalerate.txt.gz"
"403","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M19368.metal.pos.txt.gz.tab","X-06267",7075,NA,NA,2545696,413,"Metabolites","Males and females","metabolites__x06267.txt.gz"
"504","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32758.metal.pos.txt.gz.tab","X-11441",7072,NA,NA,2545374,514,"Metabolites","Males and females","metabolites__x11441.txt.gz"
"703","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35754.metal.pos.txt.gz.tab","X-13859",7002,NA,NA,2545617,713,"Metabolites","Males and females","metabolites__x13859.txt.gz"
"692","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35472.metal.pos.txt.gz.tab","2-tetradecenoyl carnitine",6998,NA,NA,2545978,702,"Metabolites","Males and females","metabolites__2tetradecenoyl_carnitine.txt.gz"
"423","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M22177.metal.pos.txt.gz.tab","Levulinate (4-oxovalerate)",6982,NA,NA,2544323,433,"Metabolites","Males and females","metabolites__levulinate_4oxovalerate.txt.gz"
"675","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35193.metal.pos.txt.gz.tab","X-13435",6970,NA,NA,2545583,685,"Metabolites","Males and females","metabolites__x13435.txt.gz"
"415","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M21188.metal.pos.txt.gz.tab","1-stearoylglycerol (1-monostearin)",6965,NA,NA,2544531,425,"Metabolites","Males and females","metabolites__1stearoylglycerol_1monostearin.txt.gz"
"383","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M16822.metal.pos.txt.gz.tab","X-04499--3,4-dihydroxybutyrate",6948,NA,NA,2545613,393,"Metabolites","Males and females","metabolites__x0449934dihydroxybutyrate.txt.gz"
"732","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M37058.metal.pos.txt.gz.tab","Succinylcarnitine",6948,NA,NA,2545250,742,"Metabolites","Males and females","metabolites__succinylcarnitine.txt.gz"
"496","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32729.metal.pos.txt.gz.tab","X-11412",6935,NA,NA,2546027,506,"Metabolites","Males and females","metabolites__x11412.txt.gz"
"329","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01558.metal.pos.txt.gz.tab","4-acetamidobutanoate",6930,NA,NA,2545566,339,"Metabolites","Males and females","metabolites__4acetamidobutanoate.txt.gz"
"427","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M22649.metal.pos.txt.gz.tab","X-09108",6910,NA,NA,2545794,437,"Metabolites","Males and females","metabolites__x09108.txt.gz"
"607","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33939.metal.pos.txt.gz.tab","N-acetylthreonine",6909,NA,NA,2545129,617,"Metabolites","Males and females","metabolites__nacetylthreonine.txt.gz"
"719","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36553.metal.pos.txt.gz.tab","X-14626",6904,NA,NA,2545892,729,"Metabolites","Males and females","metabolites__x14626.txt.gz"
"730","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36850.metal.pos.txt.gz.tab","Taurolithocholate 3-sulfate",6904,NA,NA,2545827,740,"Metabolites","Males and females","metabolites__taurolithocholate_3sulfate.txt.gz"
"680","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35257.metal.pos.txt.gz.tab","2-linoleoylglycerophosphocholine*",6894,NA,NA,2545443,690,"Metabolites","Males and females","metabolites__2linoleoylglycerophosphocholine.txt.gz"
"597","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33871.metal.pos.txt.gz.tab","1-eicosadienoylglycerophosphocholine*",6892,NA,NA,2545861,607,"Metabolites","Males and females","metabolites__1eicosadienoylglycerophosphocholine.txt.gz"
"701","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35678.metal.pos.txt.gz.tab","Hexadecanedioate",6887,NA,NA,2545172,711,"Metabolites","Males and females","metabolites__hexadecanedioate.txt.gz"
"715","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36399.metal.pos.txt.gz.tab","X-14473",6884,NA,NA,2545673,725,"Metabolites","Males and females","metabolites__x14473.txt.gz"
"353","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M03147.metal.pos.txt.gz.tab","Xanthine",6845,NA,NA,2545938,363,"Metabolites","Males and females","metabolites__xanthine.txt.gz"
"440","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M27716.metal.pos.txt.gz.tab","Bilirubin (Z,Z)",6812,NA,NA,2545527,450,"Metabolites","Males and females","metabolites__bilirubin_zz.txt.gz"
"997","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Rajaraman22886559","for_Philip_data_delivery.txt.new.tab","Glioma",6811,1856,4955,309636,1013,"Disease","Males and females","disease__glioma.txt.gz"
"431","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M25599.metal.pos.txt.gz.tab","X-10429",6807,NA,NA,2544630,441,"Metabolites","Males and females","metabolites__x10429.txt.gz"
"537","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33163.metal.pos.txt.gz.tab","X-11818",6790,NA,NA,2546063,547,"Metabolites","Males and females","metabolites__x11818.txt.gz"
"501","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32754.metal.pos.txt.gz.tab","X-11437",6782,NA,NA,2545254,511,"Metabolites","Males and females","metabolites__x11437.txt.gz"
"404","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M19396.metal.pos.txt.gz.tab","X-06307",6774,NA,NA,2545549,414,"Metabolites","Males and females","metabolites__x06307.txt.gz"
"663","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34761.metal.pos.txt.gz.tab","X-13069",6770,NA,NA,2545935,673,"Metabolites","Males and females","metabolites__x13069.txt.gz"
"641","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34384.metal.pos.txt.gz.tab","Stachydrine",6745,NA,NA,2545667,651,"Metabolites","Males and females","metabolites__stachydrine.txt.gz"
"347","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M02137.metal.pos.txt.gz.tab","Biliverdin",6686,NA,NA,2544635,357,"Metabolites","Males and females","metabolites__biliverdin.txt.gz"
"594","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33833.metal.pos.txt.gz.tab","X-12405",6676,NA,NA,2546056,604,"Metabolites","Males and females","metabolites__x12405.txt.gz"
"518","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32846.metal.pos.txt.gz.tab","X-11529",6664,NA,NA,2545303,528,"Metabolites","Males and females","metabolites__x11529.txt.gz"
"586","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33666.metal.pos.txt.gz.tab","X-12244--N-acetylcarnosine",6608,NA,NA,2545599,596,"Metabolites","Males and females","metabolites__x12244nacetylcarnosine.txt.gz"
"511","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32795.metal.pos.txt.gz.tab","X-11478",6593,NA,NA,2545166,521,"Metabolites","Males and females","metabolites__x11478.txt.gz"
"674","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35189.metal.pos.txt.gz.tab","X-13431--nonanoylcarnitine*",6591,NA,NA,2545684,684,"Metabolites","Males and females","metabolites__x13431nonanoylcarnitine.txt.gz"
"514","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32808.metal.pos.txt.gz.tab","X-11491",6584,NA,NA,2545837,524,"Metabolites","Males and females","metabolites__x11491.txt.gz"
"650","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34469.metal.pos.txt.gz.tab","X-12786",6566,NA,NA,2545668,660,"Metabolites","Males and females","metabolites__x12786.txt.gz"
"417","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M22030.metal.pos.txt.gz.tab","2-hydroxyisobutyrate",6539,NA,NA,2545252,427,"Metabolites","Males and females","metabolites__2hydroxyisobutyrate.txt.gz"
"508","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32769.metal.pos.txt.gz.tab","X-11452",6519,NA,NA,2545650,518,"Metabolites","Males and females","metabolites__x11452.txt.gz"
"462","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32379.metal.pos.txt.gz.tab","Scyllo-inositol",6500,NA,NA,2545394,472,"Metabolites","Males and females","metabolites__scylloinositol.txt.gz"
"463","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32388.metal.pos.txt.gz.tab","Dodecanedioate",6478,NA,NA,2544193,473,"Metabolites","Males and females","metabolites__dodecanedioate.txt.gz"
"582","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33638.metal.pos.txt.gz.tab","X-12217",6469,NA,NA,2545347,592,"Metabolites","Males and females","metabolites__x12217.txt.gz"
"602","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33892.metal.pos.txt.gz.tab","X-12450",6432,NA,NA,2545740,612,"Metabolites","Males and females","metabolites__x12450.txt.gz"
"483","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32593.metal.pos.txt.gz.tab","Heme*",6380,NA,NA,2545666,493,"Metabolites","Males and females","metabolites__heme.txt.gz"
"497","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32735.metal.pos.txt.gz.tab","X-01911",6360,NA,NA,2545495,507,"Metabolites","Males and females","metabolites__x01911.txt.gz"
"388","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M18283.metal.pos.txt.gz.tab","X-05426",6357,NA,NA,2545107,398,"Metabolites","Males and females","metabolites__x05426.txt.gz"
"498","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32739.metal.pos.txt.gz.tab","X-11422--xanthine",6346,NA,NA,2545847,508,"Metabolites","Males and females","metabolites__x11422xanthine.txt.gz"
"673","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35187.metal.pos.txt.gz.tab","X-13429",6344,NA,NA,2545710,683,"Metabolites","Males and females","metabolites__x13429.txt.gz"
"665","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34912.metal.pos.txt.gz.tab","X-13215",6305,NA,NA,2544540,675,"Metabolites","Males and females","metabolites__x13215.txt.gz"
"739","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M37253.metal.pos.txt.gz.tab","2-hydroxyglutarate",6287,NA,NA,2545481,749,"Metabolites","Males and females","metabolites__2hydroxyglutarate.txt.gz"
"682","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35305.metal.pos.txt.gz.tab","1-palmitoylglycerophosphoinositol*",6282,NA,NA,2545375,692,"Metabolites","Males and females","metabolites__1palmitoylglycerophosphoinositol.txt.gz"
"657","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34533.metal.pos.txt.gz.tab","X-12850",6251,NA,NA,2545952,667,"Metabolites","Males and females","metabolites__x12850.txt.gz"
"561","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33420.metal.pos.txt.gz.tab","Gamma-tocopherol",6226,NA,NA,2544979,571,"Metabolites","Males and females","metabolites__gammatocopherol.txt.gz"
"375","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M15749.metal.pos.txt.gz.tab","3-phenylpropionate (hydrocinnamate)",6182,NA,NA,2544465,385,"Metabolites","Males and females","metabolites__3phenylpropionate_hydrocinnamate.txt.gz"
"348","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M02342.metal.pos.txt.gz.tab","Serotonin (5HT)",6139,NA,NA,2545835,358,"Metabolites","Males and females","metabolites__serotonin_5ht.txt.gz"
"567","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33453.metal.pos.txt.gz.tab","Alpha-ketoglutarate",6130,NA,NA,2544385,577,"Metabolites","Males and females","metabolites__alphaketoglutarate.txt.gz"
"666","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35114.metal.pos.txt.gz.tab","7-methylguanine",6091,NA,NA,2545616,676,"Metabolites","Males and females","metabolites__7methylguanine.txt.gz"
"420","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M22130.metal.pos.txt.gz.tab","Phenyllactate (PLA)",6064,NA,NA,2544881,430,"Metabolites","Males and females","metabolites__phenyllactate_pla.txt.gz"
"541","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33192.metal.pos.txt.gz.tab","X-11847",6059,NA,NA,2545391,551,"Metabolites","Males and females","metabolites__x11847.txt.gz"
"418","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M22032.metal.pos.txt.gz.tab","X-08766",6050,NA,NA,2544547,428,"Metabolites","Males and females","metabolites__x08766.txt.gz"
"699","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35669.metal.pos.txt.gz.tab","Tetradecanedioate",6046,NA,NA,2543511,709,"Metabolites","Males and females","metabolites__tetradecanedioate.txt.gz"
"437","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M27531.metal.pos.txt.gz.tab","Hyodeoxycholate",6025,NA,NA,2544532,447,"Metabolites","Males and females","metabolites__hyodeoxycholate.txt.gz"
"683","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35326.metal.pos.txt.gz.tab","X-13548",6022,NA,NA,2545505,693,"Metabolites","Males and females","metabolites__x13548.txt.gz"
"314","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01284.metal.pos.txt.gz.tab","Threonine",6020,NA,NA,2545896,324,"Metabolites","Males and females","metabolites__threonine.txt.gz"
"587","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33675.metal.pos.txt.gz.tab","X-12253",6004,NA,NA,2545556,597,"Metabolites","Males and females","metabolites__x12253.txt.gz"
"355","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M12017.metal.pos.txt.gz.tab","3-methoxytyrosine",5997,NA,NA,2544787,365,"Metabolites","Males and females","metabolites__3methoxytyrosine.txt.gz"
"394","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M18476.metal.pos.txt.gz.tab","Glycocholate",5995,NA,NA,2545954,404,"Metabolites","Males and females","metabolites__glycocholate.txt.gz"
"1064","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Fee20595","GNEPH_for_MRBase.csv.gz.tab","IgA nephropathy",5957,977,4980,278077,1081,"Disease","Males and females","disease__iga_nephropathy.txt.gz"
"676","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35240.metal.pos.txt.gz.tab","X-13477",5952,NA,NA,2545812,686,"Metabolites","Males and females","metabolites__x13477.txt.gz"
"428","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M22842.metal.pos.txt.gz.tab","Cholate",5929,NA,NA,2545328,438,"Metabolites","Males and females","metabolites__cholate.txt.gz"
"366","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M15335.metal.pos.txt.gz.tab","Mannitol",5917,NA,NA,2545531,376,"Metabolites","Males and females","metabolites__mannitol.txt.gz"
"622","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34112.metal.pos.txt.gz.tab","X-12544",5893,NA,NA,2545544,632,"Metabolites","Males and females","metabolites__x12544.txt.gz"
"302","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M00575.metal.pos.txt.gz.tab","Arabinose",5889,NA,NA,2545100,312,"Metabolites","Males and females","metabolites__arabinose.txt.gz"
"374","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M15677.metal.pos.txt.gz.tab","3-methylhistidine",5885,NA,NA,2543426,384,"Metabolites","Males and females","metabolites__3methylhistidine.txt.gz"
"604","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33910.metal.pos.txt.gz.tab","X-12465",5883,NA,NA,2545306,614,"Metabolites","Males and females","metabolites__x12465.txt.gz"
"414","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M21184.metal.pos.txt.gz.tab","1-oleoylglycerol (1-monoolein)",5717,NA,NA,2545533,424,"Metabolites","Males and females","metabolites__1oleoylglycerol_1monoolein.txt.gz"
"396","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M18494.metal.pos.txt.gz.tab","Taurochenodeoxycholate",5716,NA,NA,2546774,406,"Metabolites","Males and females","metabolites__taurochenodeoxycholate.txt.gz"
"308","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01107.metal.pos.txt.gz.tab","Allantoin",5705,NA,NA,2542981,318,"Metabolites","Males and females","metabolites__allantoin.txt.gz"
"802","/projects/MRC-IEU/publicdata/GWAS_summary_data/dbGAP_collections","phs000089.pha002868.txt.gz.tab","Parkinson's disease",5691,1713,3978,453218,812,"Disease","Males and females","disease__parkinsons_disease.txt.gz"
"583","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33652.metal.pos.txt.gz.tab","X-12230",5649,NA,NA,2545580,593,"Metabolites","Males and females","metabolites__x12230.txt.gz"
"638","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34344.metal.pos.txt.gz.tab","X-12734",5616,NA,NA,2544533,648,"Metabolites","Males and females","metabolites__x12734.txt.gz"
"723","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36673.metal.pos.txt.gz.tab","X-14745",5602,NA,NA,2545672,733,"Metabolites","Males and females","metabolites__x14745.txt.gz"
"529","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33084.metal.pos.txt.gz.tab","ADSGEGDFXAEGGGVR*",5588,NA,NA,2545664,539,"Metabolites","Males and females","metabolites__adsgegdfxaegggvr.txt.gz"
"688","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35433.metal.pos.txt.gz.tab","Hydroxyisovaleroyl carnitine",5588,NA,NA,2545672,698,"Metabolites","Males and females","metabolites__hydroxyisovaleroyl_carnitine.txt.gz"
"649","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34456.metal.pos.txt.gz.tab","Gamma-glutamylisoleucine*",5522,NA,NA,2544669,659,"Metabolites","Males and females","metabolites__gammaglutamylisoleucine.txt.gz"
"635","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34336.metal.pos.txt.gz.tab","X-12726",5495,NA,NA,2541060,645,"Metabolites","Males and females","metabolites__x12726.txt.gz"
"336","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01605.metal.pos.txt.gz.tab","Ursodeoxycholate",5477,NA,NA,2543395,346,"Metabolites","Males and females","metabolites__ursodeoxycholate.txt.gz"
"489","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32651.metal.pos.txt.gz.tab","X-11334",5462,NA,NA,2544534,499,"Metabolites","Males and females","metabolites__x11334.txt.gz"
"557","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33390.metal.pos.txt.gz.tab","X-12039",5461,NA,NA,2544420,567,"Metabolites","Males and females","metabolites__x12039.txt.gz"
"569","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33488.metal.pos.txt.gz.tab","Lathosterol",5457,NA,NA,2544172,579,"Metabolites","Males and females","metabolites__lathosterol.txt.gz"
"448","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M31548.metal.pos.txt.gz.tab","DSGEGDFXAEGGGVR*",5371,NA,NA,2545674,458,"Metabolites","Males and females","metabolites__dsgegdfxaegggvr.txt.gz"
"581","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33637.metal.pos.txt.gz.tab","X-12216",5369,NA,NA,2545350,591,"Metabolites","Males and females","metabolites__x12216.txt.gz"
"601","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33885.metal.pos.txt.gz.tab","X-12443",5357,NA,NA,2544471,611,"Metabolites","Males and females","metabolites__x12443.txt.gz"
"542","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33194.metal.pos.txt.gz.tab","X-11849",5350,NA,NA,2545560,552,"Metabolites","Males and females","metabolites__x11849.txt.gz"
"694","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35551.metal.pos.txt.gz.tab","X-13741",5325,NA,NA,2544479,704,"Metabolites","Males and females","metabolites__x13741.txt.gz"
"751","/projects/MRC-IEU/publicdata/GWAS_summary_data/magic","MAGIC_INSULIN_SECRETION_CIR_for_release_HMrel27.txt.tab","Corrected insulin response",5318,NA,NA,2425234,761,"Risk factor","Males and females","risk_factor__corrected_insulin_response.txt.gz"
"621","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34106.metal.pos.txt.gz.tab","Bilirubin (E,Z or Z,E)*",5295,NA,NA,2545706,631,"Metabolites","Males and females","metabolites__bilirubin_ez_or_ze.txt.gz"
"627","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34245.metal.pos.txt.gz.tab","X-12645",5254,NA,NA,2546263,637,"Metabolites","Males and females","metabolites__x12645.txt.gz"
"669","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35137.metal.pos.txt.gz.tab","N2,N2-dimethylguanosine",5228,NA,NA,2543696,679,"Metabolites","Males and females","metabolites__n2n2dimethylguanosine.txt.gz"
"310","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01114.metal.pos.txt.gz.tab","Deoxycholate",5194,NA,NA,2546027,320,"Metabolites","Males and females","metabolites__deoxycholate.txt.gz"
"658","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34534.metal.pos.txt.gz.tab","Laurylcarnitine",5170,NA,NA,2545632,668,"Metabolites","Males and females","metabolites__laurylcarnitine.txt.gz"
"405","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M19414.metal.pos.txt.gz.tab","X-06350",5161,NA,NA,2545553,415,"Metabolites","Males and females","metabolites__x06350.txt.gz"
"660","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34539.metal.pos.txt.gz.tab","X-12855",5120,NA,NA,2544296,670,"Metabolites","Males and females","metabolites__x12855.txt.gz"
"584","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33653.metal.pos.txt.gz.tab","X-12231",5111,NA,NA,2545541,594,"Metabolites","Males and females","metabolites__x12231.txt.gz"
"535","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33144.metal.pos.txt.gz.tab","X-11799",5038,NA,NA,2545366,545,"Metabolites","Males and females","metabolites__x11799.txt.gz"
"380","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M16816.metal.pos.txt.gz.tab","X-04494",5007,NA,NA,2544637,390,"Metabolites","Males and females","metabolites__x04494.txt.gz"
"547","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33221.metal.pos.txt.gz.tab","X-11876",4965,NA,NA,2545934,557,"Metabolites","Males and females","metabolites__x11876.txt.gz"
"742","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M38150.metal.pos.txt.gz.tab","Phenylalanylphenylalanine",4961,NA,NA,2545652,752,"Metabolites","Males and females","metabolites__phenylalanylphenylalanine.txt.gz"
"806","/projects/MRC-IEU/publicdata/GWAS_summary_data/dbGAP_collections","phs000124.pha002895.txt.gz.tab","Neuroblastoma",4881,1627,3254,468788,816,"Disease","Males and females","disease__neuroblastoma.txt.gz"
"543","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33195.metal.pos.txt.gz.tab","X-11850",4868,NA,NA,2546211,553,"Metabolites","Males and females","metabolites__x11850.txt.gz"
"734","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M37104.metal.pos.txt.gz.tab","Cyclo(leu-pro)",4833,NA,NA,2544386,744,"Metabolites","Males and females","metabolites__cycloleupro.txt.gz"
"659","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34535.metal.pos.txt.gz.tab","X-12851",4808,NA,NA,2543767,669,"Metabolites","Males and females","metabolites__x12851.txt.gz"
"406","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M19415.metal.pos.txt.gz.tab","X-06351",4791,NA,NA,2544606,416,"Metabolites","Males and females","metabolites__x06351.txt.gz"
"603","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33901.metal.pos.txt.gz.tab","X-12456",4774,NA,NA,2545624,613,"Metabolites","Males and females","metabolites__x12456.txt.gz"
"550","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33250.metal.pos.txt.gz.tab","X-11905",4761,NA,NA,2542634,560,"Metabolites","Males and females","metabolites__x11905.txt.gz"
"376","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M15958.metal.pos.txt.gz.tab","Phenylacetate",4754,NA,NA,2544277,386,"Metabolites","Males and females","metabolites__phenylacetate.txt.gz"
"647","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34441.metal.pos.txt.gz.tab","X-12771",4734,NA,NA,2546141,657,"Metabolites","Males and females","metabolites__x12771.txt.gz"
"706","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35978.metal.pos.txt.gz.tab","X-14057",4716,NA,NA,2545375,716,"Metabolites","Males and females","metabolites__x14057.txt.gz"
"512","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32800.metal.pos.txt.gz.tab","X-11483",4608,NA,NA,2542922,522,"Metabolites","Males and females","metabolites__x11483.txt.gz"
"1013","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/EAGLE_ADHD_Aggression_Internalizing_problems/","meta3.INTsnplist_F.txt.tab","Internalizing problems",4596,NA,NA,2821735,1029,"Disease","Males and females","disease__internalizing_problems.txt.gz"
"646","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34420.metal.pos.txt.gz.tab","Bradykinin, des-arg(9)",4570,NA,NA,2545567,656,"Metabolites","Males and females","metabolites__bradykinin_desarg9.txt.gz"
"580","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33633.metal.pos.txt.gz.tab","X-12212",4566,NA,NA,2545160,590,"Metabolites","Males and females","metabolites__x12212.txt.gz"
"513","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32802.metal.pos.txt.gz.tab","X-11485",4544,NA,NA,2545895,523,"Metabolites","Males and females","metabolites__x11485.txt.gz"
"728","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36802.metal.pos.txt.gz.tab","N-Butyl Oleate",4542,NA,NA,2545187,738,"Metabolites","Males and females","metabolites__nbutyl_oleate.txt.gz"
