Name,Infinium Design Type,Chromosome,Location (hg19),Strand,Gene Symbol,Effect,Std. Error,Z-value,P-value,FDR,P-value (Current vs. Never),FDR (Current vs. Never),Dose Response
cg23771366,II,11,"86,510,998",R,PRSS23,-4.8E-05,2.8E-06,-17.32,3.4E-67,2.4E-64,7.53E-18,1.9E-14,1
cg00639656,II,17,"27,050,360",F,SNORD42A;RPL23A;SNORD4B,-9.6E-06,1.5E-06,-6.60,4.2E-11,9.6E-10,7.56E-18,1.9E-14,1
cg18476604,II,22,"30,721,543",R,TBC1D10A,-6.1E-06,1.4E-06,-4.31,1.6E-05,8.8E-05,7.79E-18,2.0E-14,1
cg26126879,II,8,"103,916,295",R,,9.1E-06,2.7E-06,3.38,7.3E-04,0.0022,7.99E-18,2.0E-14,1
cg21138542,II,6,"170,581,502",F,,1.0E-05,2.4E-06,4.37,1.2E-05,6.9E-05,8.17E-18,2.1E-14,1
cg14753356,II,6,"30,720,108",R,,-4.0E-05,2.2E-06,-18.39,1.5E-75,1.4E-72,9.24E-18,2.3E-14,1
cg17924476,II,5,"323,794",R,AHRR,3.6E-05,3.7E-06,9.65,5.0E-22,5.5E-20,9.30E-18,2.3E-14,1
cg18451588,II,7,"29,606,289",F,PRR15,-1.8E-05,3.1E-06,-5.85,4.9E-09,7.0E-08,9.31E-18,2.3E-14,1
cg27514333,II,15,"66,996,626",R,SMAD6,-8.7E-06,1.6E-06,-5.36,8.4E-08,8.6E-07,1.01E-17,2.5E-14,1
cg04517079,II,6,"41,546,161",R,FOXP4,-2.2E-05,2.1E-06,-10.42,2.0E-25,2.9E-23,1.06E-17,2.6E-14,1
cg02736016,II,12,"1,017,144",R,WNK1,9.8E-06,1.8E-06,5.54,3.1E-08,3.6E-07,1.13E-17,2.8E-14,1
cg07941108,II,14,"90,741,814",R,,-2.1E-05,3.1E-06,-6.92,4.6E-12,1.3E-10,1.17E-17,2.9E-14,1
cg07057831,II,12,"131,323,042",R,STX2,-1.3E-05,2.3E-06,-5.86,4.5E-09,6.5E-08,1.23E-17,3.0E-14,1
cg04180046,II,7,"45,002,736",F,MYO1G,4.4E-05,4.1E-06,10.87,1.5E-27,2.6E-25,1.30E-17,3.1E-14,1
cg07090714,I,6,"6,857,062",F,,-2.3E-05,2.4E-06,-9.51,1.9E-21,1.9E-19,1.42E-17,3.4E-14,1
cg14614490,II,9,"123,637,816",R,PHF19,-7.3E-06,1.4E-06,-5.12,3.1E-07,2.8E-06,1.60E-17,3.8E-14,1
cg15342087,II,6,"30,720,209",R,,-3.3E-05,1.5E-06,-21.24,3.9E-100,6.6E-97,1.63E-17,3.9E-14,1
cg20772590,II,17,"75,446,431",F,SEPT9,-4.2E-06,1.5E-06,-2.87,0.0040,0.0093,1.64E-17,3.9E-14,1
cg19935065,II,10,"98,062,687",F,DNTT,2.0E-05,3.1E-06,6.38,1.8E-10,3.6E-09,1.70E-17,4.0E-14,1
cg26283141,II,6,"33,240,471",F,VPS52;RPS18,-1.7E-05,2.4E-06,-6.98,3.0E-12,8.7E-11,1.73E-17,4.0E-14,1
cg13193840,I,2,"233,285,289",F,,-2.4E-05,1.5E-06,-16.24,2.6E-59,1.3E-56,1.83E-17,4.3E-14,1
cg15029032,II,15,"86,294,644",R,,4.6E-06,2.4E-06,1.92,0.0546,0.0825,1.87E-17,4.4E-14,0
cg23973524,II,19,"18,873,222",R,CRTC1,1.8E-05,3.0E-06,6.20,5.7E-10,1.0E-08,1.94E-17,4.5E-14,1
cg03059073,II,7,"150,130,708",F,,1.6E-05,2.5E-06,6.27,3.6E-10,6.7E-09,2.06E-17,4.7E-14,1
cg11961495,I,10,"80,873,797",F,ZMIZ1,-1.4E-05,2.2E-06,-6.11,1.0E-09,1.7E-08,2.14E-17,4.9E-14,1
cg01022370,II,8,"8,749,074",F,MFHAS1,-6.0E-06,1.6E-06,-3.83,1.3E-04,5.2E-04,2.27E-17,5.2E-14,1
cg05906166,II,19,"16,437,057",R,KLF2,-2.9E-05,4.2E-06,-6.81,9.5E-12,2.5E-10,2.47E-17,5.6E-14,1
cg07839313,I,19,"17,514,600",R,BST2,-8.2E-06,2.4E-06,-3.43,6.0E-04,0.0019,2.67E-17,6.0E-14,1
cg23079012,I,2,"8,343,710",R,,-3.5E-05,1.8E-06,-19.84,1.2E-87,1.5E-84,2.71E-17,6.1E-14,1
cg09935388,II,1,"92,947,588",F,GFI1,-9.1E-05,4.1E-06,-22.11,2.4E-108,5.0E-105,3.14E-17,7.0E-14,1
cg05886626,II,15,"39,873,553",F,THBS1,-1.4E-05,1.8E-06,-7.50,6.3E-14,2.4E-12,3.56E-17,7.9E-14,1
cg00207731,II,15,"91,416,118",R,FURIN,-1.4E-05,2.2E-06,-6.70,2.1E-11,5.0E-10,3.58E-17,7.9E-14,1
cg20727233,II,7,"97,501,946",F,ASNS,-4.2E-06,9.1E-07,-4.56,5.2E-06,3.2E-05,3.88E-17,8.6E-14,1
cg13038618,II,14,"77,467,391",F,,-2.0E-05,2.1E-06,-9.94,2.7E-23,3.3E-21,4.04E-17,8.9E-14,1
cg00668559,II,6,"44,230,977",F,NFKBIE,-8.5E-06,1.8E-06,-4.65,3.4E-06,2.2E-05,4.28E-17,9.4E-14,1
cg13855261,II,17,"14,206,572",F,HS3ST3B1;MGC12916,-1.0E-05,1.9E-06,-5.64,1.7E-08,2.1E-07,4.33E-17,9.4E-14,1
cg16254756,II,1,"154,943,676",F,SHC1,-1.1E-05,1.7E-06,-6.18,6.5E-10,1.2E-08,4.50E-17,9.8E-14,1
cg19046189,II,19,"49,316,732",F,HSD17B14,9.8E-06,1.4E-06,6.98,3.0E-12,8.6E-11,4.73E-17,1.0E-13,1
cg16786458,II,5,"149,108,820",F,PPARGC1B,1.3E-05,2.9E-06,4.36,1.3E-05,7.1E-05,4.74E-17,1.0E-13,1
cg08928675,I,7,"5,528,044",R,FBXL18,-2.0E-05,3.3E-06,-6.02,1.7E-09,2.7E-08,5.33E-17,1.1E-13,1
cg17287155,I,5,"393,347",F,AHRR,-2.6E-05,1.3E-06,-19.93,2.2E-88,2.7E-85,5.38E-17,1.1E-13,1
cg00310412,II,15,"74,724,918",R,SEMA7A,-3.3E-05,1.9E-06,-17.30,4.7E-67,3.1E-64,5.74E-17,1.2E-13,1
cg24947694,II,11,"86,387,554",F,,-1.4E-05,1.9E-06,-7.63,2.4E-14,9.7E-13,5.97E-17,1.3E-13,1
cg04086928,II,9,"134,612,644",R,RAPGEF1,-9.2E-06,2.2E-06,-4.27,2.0E-05,1.0E-04,5.98E-17,1.3E-13,1
cg13985437,II,11,"76,381,044",F,LRRC32,-1.6E-05,1.9E-06,-8.46,2.6E-17,1.7E-15,6.30E-17,1.3E-13,1
cg23606396,II,6,"29,717,917",F,LOC285830,5.7E-06,2.2E-06,2.58,0.0098,0.0197,6.66E-17,1.4E-13,1
cg04232972,II,16,"30,671,644",R,,-1.6E-05,1.8E-06,-8.77,1.8E-18,1.3E-16,7.01E-17,1.5E-13,1
cg00071265,II,20,"60,717,158",F,PSMA7,-9.1E-06,1.9E-06,-4.82,1.4E-06,1.1E-05,7.51E-17,1.6E-13,1
cg06635952,II,2,"70,025,869",F,ANXA4,1.8E-05,1.9E-06,9.58,1.0E-21,1.1E-19,7.55E-17,1.6E-13,1
cg24049493,II,1,"42,385,941",F,HIVEP3,3.5E-05,4.5E-06,7.74,9.6E-15,4.2E-13,7.79E-17,1.6E-13,1
cg05273302,II,19,"2,095,560",F,C19orf36;MOBKL2A,-1.3E-05,3.2E-06,-4.10,4.1E-05,1.9E-04,8.41E-17,1.7E-13,1
cg26371172,II,6,"29,454,888",R,MAS1L,6.0E-06,1.3E-06,4.50,6.7E-06,4.1E-05,8.86E-17,1.8E-13,1
cg26728709,II,4,"114,823,338",F,ARSJ,1.3E-05,2.2E-06,6.00,2.0E-09,3.2E-08,9.36E-17,1.9E-13,1
cg07069636,II,16,"30,671,749",F,,-1.9E-05,1.6E-06,-11.54,8.3E-31,1.7E-28,1.00E-16,2.0E-13,1
cg12086028,II,6,"33,241,026",R,VPS52;RPS18,-1.3E-05,3.0E-06,-4.15,3.3E-05,1.6E-04,1.03E-16,2.1E-13,1
cg16178855,II,20,"56,269,979",R,PMEPA1,5.5E-06,1.6E-06,3.52,4.3E-04,0.0014,1.06E-16,2.1E-13,1
cg06065019,II,2,"177,356,276",R,,-9.6E-06,3.2E-06,-3.03,0.0025,0.0062,1.18E-16,2.4E-13,1
cg03188382,II,2,"233,245,886",R,ALPP,-2.7E-05,2.2E-06,-12.10,1.1E-33,2.7E-31,1.19E-16,2.4E-13,1
cg18642234,II,3,"49,394,622",R,GPX1,-2.1E-05,1.8E-06,-11.53,8.8E-31,1.8E-28,1.24E-16,2.5E-13,1
cg03358636,II,3,"197,474,006",R,KIAA0226,-2.7E-05,2.9E-06,-9.16,5.2E-20,4.5E-18,1.26E-16,2.5E-13,1
cg18132076,II,6,"1,970,710",R,GMDS,5.7E-06,2.4E-06,2.42,0.0154,0.0286,1.38E-16,2.7E-13,1
cg23067299,I,5,"323,907",R,AHRR,9.3E-06,1.8E-06,5.15,2.6E-07,2.3E-06,1.53E-16,3.0E-13,1
cg15937073,II,1,"42,384,564",R,HIVEP3,2.1E-05,3.8E-06,5.41,6.2E-08,6.6E-07,1.64E-16,3.2E-13,1
cg16526047,II,1,"949,893",F,ISG15,-1.2E-05,3.7E-06,-3.16,0.0016,0.0042,1.66E-16,3.2E-13,1
cg11445634,II,15,"61,821,004",R,,-1.6E-05,2.3E-06,-6.98,2.9E-12,8.4E-11,1.80E-16,3.5E-13,1
cg23685969,II,10,"73,976,821",F,ASCC1;C10orf104,-1.0E-05,1.6E-06,-6.21,5.3E-10,9.6E-09,1.94E-16,3.7E-13,1
cg17024919,II,3,"21,792,248",F,ZNF385D,-3.3E-05,4.7E-06,-7.13,1.0E-12,3.1E-11,2.08E-16,4.0E-13,1
cg09662411,II,1,"92,946,132",F,GFI1,-4.3E-05,3.4E-06,-12.87,7.0E-38,2.1E-35,2.23E-16,4.3E-13,1
cg02657160,II,3,"98,311,063",F,CPOX,-1.9E-05,1.4E-06,-13.72,8.2E-43,2.9E-40,2.39E-16,4.5E-13,1
cg07807026,II,12,"2,041,581",F,,4.7E-06,1.4E-06,3.46,5.5E-04,0.0017,2.56E-16,4.8E-13,1
cg07924081,II,19,"45,898,892",F,PPP1R13L,6.9E-06,1.6E-06,4.42,9.9E-06,5.7E-05,2.57E-16,4.8E-13,1
cg03991871,II,5,"368,447",R,AHRR,-4.9E-05,2.8E-06,-17.82,5.1E-71,4.1E-68,2.60E-16,4.9E-13,1
cg16924010,I,3,"194,018,158",F,,9.2E-06,1.8E-06,5.03,4.8E-07,4.1E-06,2.89E-16,5.4E-13,1
cg01015663,II,1,"23,729,692",F,TCEA3,-1.7E-05,2.1E-06,-7.90,2.8E-15,1.4E-13,3.11E-16,5.8E-13,1
cg04211179,II,1,"16,301,562",R,ZBTB17,-9.3E-06,2.0E-06,-4.69,2.8E-06,1.9E-05,3.16E-16,5.9E-13,1
cg11105358,I,5,"176,758,052",R,,7.7E-06,1.8E-06,4.22,2.4E-05,1.2E-04,3.33E-16,6.1E-13,1
cg14371731,I,10,"81,003,175",R,ZMIZ1,2.9E-05,4.2E-06,6.81,9.9E-12,2.6E-10,3.52E-16,6.5E-13,1
cg17372758,I,10,"73,976,798",R,ASCC1;C10orf104,-1.2E-05,2.0E-06,-6.30,3.0E-10,5.7E-09,3.97E-16,7.3E-13,1
cg13645530,I,12,"116,756,948",F,,1.6E-05,2.0E-06,8.08,6.5E-16,3.4E-14,4.02E-16,7.3E-13,1
cg07626482,II,19,"47,289,503",F,SLC1A5,-1.6E-05,1.7E-06,-9.01,2.0E-19,1.6E-17,4.06E-16,7.4E-13,1
cg26878655,II,17,"38,481,877",R,RARA,-1.1E-05,1.7E-06,-6.26,3.9E-10,7.2E-09,4.24E-16,7.7E-13,1
cg13184736,I,1,"68,299,409",F,GNG12,-4.9E-05,5.1E-06,-9.75,1.9E-22,2.2E-20,4.29E-16,7.7E-13,1
cg21161138,II,5,"399,360",R,AHRR,-5.7E-05,2.1E-06,-26.47,1.9E-154,4.4E-151,4.42E-16,7.9E-13,1
cg10850792,II,15,"89,531,046",R,,8.4E-06,1.6E-06,5.28,1.3E-07,1.3E-06,4.42E-16,7.9E-13,1
cg25305703,II,8,"128,378,218",F,,-5.0E-05,3.7E-06,-13.63,2.6E-42,8.6E-40,5.94E-16,1.1E-12,1
cg01634388,II,4,"129,405,035",R,,1.1E-05,2.1E-06,5.22,1.8E-07,1.7E-06,6.25E-16,1.1E-12,1
cg09540102,I,16,"1,822,124",F,NME3;MRPS34;EME2,-1.7E-05,3.7E-06,-4.67,3.0E-06,2.0E-05,6.53E-16,1.2E-12,1
cg12800803,I,20,"60,717,299",R,PSMA7,-1.2E-05,2.2E-06,-5.45,5.0E-08,5.5E-07,6.71E-16,1.2E-12,1
cg17098103,II,1,"42,385,160",R,HIVEP3,5.0E-06,2.4E-06,2.03,0.0424,0.0669,7.23E-16,1.3E-12,0
cg01692968,II,9,"108,005,349",F,,-3.5E-05,2.3E-06,-15.16,6.8E-52,3.0E-49,7.38E-16,1.3E-12,1
cg06477444,I,19,"50,411,521",R,NUP62;IL4I1,-3.6E-06,1.1E-06,-3.37,7.5E-04,0.0023,7.51E-16,1.3E-12,1
cg06106428,II,11,"110,584,327",F,ARHGAP20,1.7E-05,2.6E-06,6.78,1.2E-11,3.0E-10,7.54E-16,1.3E-12,1
cg23127986,II,6,"11,939,022",R,,2.6E-06,1.3E-06,2.04,0.0417,0.0659,7.72E-16,1.3E-12,0
cg15339249,II,4,"36,282,498",R,DTHD1,5.3E-06,2.1E-06,2.59,0.0095,0.0192,7.99E-16,1.4E-12,1
cg16357921,II,9,"90,589,634",F,CDK20,2.2E-06,1.4E-06,1.65,0.0983,0.1357,8.08E-16,1.4E-12,0
cg05055821,II,7,"2,758,924",F,,3.9E-06,1.2E-06,3.12,0.0018,0.0047,8.81E-16,1.5E-12,1
cg24807889,II,1,"1,135,955",R,,-1.3E-05,2.0E-06,-6.20,5.6E-10,1.0E-08,8.81E-16,1.5E-12,1
cg19804488,II,17,"73,760,363",R,GALK1,-1.3E-05,1.9E-06,-6.72,1.9E-11,4.6E-10,8.82E-16,1.5E-12,1
cg00871371,II,17,"75,371,476",R,SEPT9,-5.4E-06,2.1E-06,-2.63,0.0084,0.0173,8.82E-16,1.5E-12,1
cg14656043,II,10,"35,419,996",F,CREM,-9.0E-06,1.9E-06,-4.86,1.2E-06,8.8E-06,9.08E-16,1.5E-12,1
cg07177756,II,1,"173,836,307",F,SNORD75;SNORD78;ZBTB37;SNORD76;GAS5;SNORD77;SNORD44,-2.0E-05,2.9E-06,-6.91,4.7E-12,1.3E-10,9.47E-16,1.6E-12,1
cg00442389,II,6,"32,160,074",R,GPSM3,-7.3E-06,1.2E-06,-6.03,1.7E-09,2.7E-08,9.63E-16,1.6E-12,1
cg01731783,II,14,"74,211,788",R,C14orf43,-1.2E-05,1.3E-06,-8.94,4.0E-19,3.1E-17,1.05E-15,1.8E-12,1
cg14580211,II,5,"150,161,299",R,C5orf62,-3.7E-05,2.3E-06,-16.39,2.2E-60,1.2E-57,1.07E-15,1.8E-12,1
cg06096336,II,2,"231,989,800",F,PSMD1;HTR2B,-1.4E-05,3.1E-06,-4.49,7.0E-06,4.2E-05,1.07E-15,1.8E-12,1
cg01899089,II,5,"369,969",F,AHRR,-3.3E-05,2.4E-06,-13.89,7.3E-44,2.7E-41,1.08E-15,1.8E-12,1
cg25955180,II,6,"32,116,538",F,PRRT1,1.2E-05,2.0E-06,5.74,9.6E-09,1.3E-07,1.11E-15,1.8E-12,1
cg01993576,II,6,"44,187,674",F,SLC29A1,-8.0E-06,1.7E-06,-4.58,4.6E-06,2.9E-05,1.15E-15,1.9E-12,1
cg09726654,II,2,"158,114,268",F,GALNT5,3.2E-06,1.3E-06,2.40,0.0165,0.0304,1.15E-15,1.9E-12,1
cg26599989,II,11,"1,297,087",R,TOLLIP,1.1E-05,1.8E-06,6.22,5.0E-10,9.0E-09,1.15E-15,1.9E-12,1
cg06537333,II,16,"85,643,863",F,KIAA0182,2.8E-06,1.1E-06,2.48,0.0132,0.0253,1.26E-15,2.0E-12,1
cg22871253,II,6,"159,238,744",R,EZR,-9.6E-06,2.0E-06,-4.86,1.2E-06,8.9E-06,1.28E-15,2.1E-12,1
cg11323506,I,5,"80,529,135",F,RNU5E;RNU5D;CKMT2,8.3E-06,2.2E-06,3.86,1.1E-04,4.7E-04,1.31E-15,2.1E-12,1
cg13039251,II,5,"32,018,601",R,PDZD2,3.9E-05,3.7E-06,10.58,3.7E-26,5.7E-24,1.36E-15,2.2E-12,1
cg01293143,II,20,"62,688,326",R,TCEA2,-8.8E-06,2.0E-06,-4.30,1.7E-05,8.9E-05,1.40E-15,2.3E-12,1
cg12876356,II,1,"92,946,825",F,GFI1,-7.0E-05,4.7E-06,-15.08,2.1E-51,8.7E-49,1.49E-15,2.4E-12,1
cg19089201,I,7,"45,002,287",R,MYO1G,3.9E-05,4.1E-06,9.42,4.5E-21,4.3E-19,1.56E-15,2.5E-12,1
cg23061027,II,6,"32,116,207",R,PRRT1,1.2E-05,2.9E-06,4.22,2.5E-05,1.3E-04,1.75E-15,2.8E-12,1
cg12979844,II,13,"46,425,929",F,SIAH3,1.3E-05,2.9E-06,4.65,3.3E-06,2.2E-05,1.88E-15,3.0E-12,1
cg04636834,II,16,"685,580",R,C16orf13,-1.4E-05,2.3E-06,-6.14,8.4E-10,1.4E-08,1.93E-15,3.1E-12,1
cg10580293,I,7,"29,605,897",F,PRR15,-1.4E-05,2.6E-06,-5.55,2.9E-08,3.4E-07,2.11E-15,3.3E-12,1
cg03274391,II,3,"22,413,232",F,,7.7E-05,6.7E-06,11.48,1.7E-30,3.4E-28,2.23E-15,3.5E-12,1
cg18704527,II,22,"19,962,042",F,ARVCF,1.0E-05,2.2E-06,4.75,2.0E-06,1.4E-05,2.36E-15,3.7E-12,1
cg21393163,II,1,"12,217,629",R,,-1.3E-05,1.4E-06,-8.97,2.9E-19,2.3E-17,2.41E-15,3.8E-12,1
cg00501876,II,3,"39,193,251",R,CSRNP1,-1.5E-05,1.6E-06,-9.69,3.4E-22,3.8E-20,2.51E-15,3.9E-12,1
cg10858945,II,10,"116,528,318",R,,5.6E-06,1.5E-06,3.69,2.3E-04,8.1E-04,2.54E-15,3.9E-12,1
cg01744331,I,11,"2,722,358",F,KCNQ1OT1;KCNQ1,-1.5E-05,1.9E-06,-8.09,5.8E-16,3.1E-14,2.59E-15,4.0E-12,1
cg02186444,II,17,"73,120,977",F,ARMC7,1.5E-05,2.1E-06,7.18,6.8E-13,2.2E-11,2.64E-15,4.1E-12,1
cg00230183,II,16,"88,882,565",R,GALNS,5.3E-06,1.8E-06,3.00,0.0027,0.0066,2.66E-15,4.1E-12,1
cg09287933,II,6,"33,384,473",R,CUTA,-6.3E-06,1.6E-06,-3.90,9.5E-05,4.0E-04,2.80E-15,4.3E-12,1
cg13399816,II,1,"68,299,468",F,GNG12,-2.4E-05,2.9E-06,-8.24,1.7E-16,9.9E-15,2.83E-15,4.3E-12,1
cg27579313,II,17,"7,381,622",F,ZBTB4,-1.0E-05,2.8E-06,-3.75,1.8E-04,6.7E-04,3.02E-15,4.6E-12,1
cg26669717,II,7,"641,028",R,PRKAR1B,-1.2E-05,1.6E-06,-7.21,5.5E-13,1.8E-11,3.02E-15,4.6E-12,1
cg11624345,II,19,"44,278,551",F,KCNN4,-7.8E-06,2.6E-06,-3.01,0.0026,0.0065,3.06E-15,4.6E-12,1
cg11198596,II,3,"66,548,117",R,LRIG1,-8.1E-06,2.4E-06,-3.43,6.0E-04,0.0019,3.13E-15,4.7E-12,1
cg11066209,II,7,"2,282,252",R,FTSJ2;NUDT1,-7.6E-06,1.3E-06,-5.92,3.3E-09,4.9E-08,3.23E-15,4.8E-12,1
cg22721579,I,1,"36,787,932",R,FAM176B,-1.9E-05,3.6E-06,-5.13,2.9E-07,2.6E-06,3.37E-15,5.0E-12,1
cg14841514,I,10,"80,866,619",R,ZMIZ1,-5.7E-06,1.5E-06,-3.94,8.0E-05,3.4E-04,3.66E-15,5.5E-12,1
cg26510500,II,2,"74,778,482",R,LOXL3,-2.4E-06,9.0E-07,-2.69,0.0071,0.0149,3.72E-15,5.5E-12,1
cg07465627,II,17,"53,167,407",F,STXBP4,-9.7E-06,1.9E-06,-5.07,3.9E-07,3.4E-06,3.78E-15,5.6E-12,1
cg21380183,II,20,"50,312,632",R,ATP9A,-8.9E-06,1.5E-06,-5.86,4.6E-09,6.6E-08,3.88E-15,5.7E-12,1
cg19375644,II,2,"128,617,792",R,,5.5E-06,1.2E-06,4.54,5.7E-06,3.5E-05,4.03E-15,6.0E-12,1
cg13543915,II,9,"134,293,793",F,,-1.7E-05,1.8E-06,-9.58,1.0E-21,1.1E-19,4.08E-15,6.0E-12,1
cg01268763,I,14,"53,618,419",R,DDHD1,-1.9E-05,2.3E-06,-8.14,3.8E-16,2.1E-14,4.08E-15,6.0E-12,1
cg08058672,II,3,"51,423,212",F,MANF,-4.4E-06,8.9E-07,-4.94,7.8E-07,6.2E-06,4.23E-15,6.2E-12,1
cg02431562,II,2,"96,809,970",R,DUSP2,-4.3E-06,1.5E-06,-2.81,0.0050,0.0112,4.47E-15,6.5E-12,1
cg26950531,II,19,"38,704,515",F,DPF1,5.1E-06,3.1E-06,1.67,0.0950,0.1317,4.62E-15,6.7E-12,0
cg08606254,II,5,"323,969",R,AHRR,9.3E-06,2.1E-06,4.34,1.4E-05,7.8E-05,4.69E-15,6.8E-12,1
cg18146737,I,1,"92,946,700",R,GFI1,-5.7E-05,4.5E-06,-12.58,2.9E-36,7.8E-34,4.81E-15,6.9E-12,1
cg18780100,II,17,"78,682,785",R,RPTOR,1.1E-05,2.4E-06,4.42,9.8E-06,5.6E-05,5.26E-15,7.6E-12,1
cg07660627,II,17,"35,481,970",F,ACACA,2.1E-05,3.6E-06,5.83,5.7E-09,8.0E-08,5.41E-15,7.8E-12,1
cg20295214,II,1,"206,226,794",R,AVPR1B,-2.1E-05,1.7E-06,-12.36,4.1E-35,1.1E-32,5.49E-15,7.9E-12,1
cg12279125,I,8,"2,129,970",R,,1.1E-05,2.3E-06,5.03,4.8E-07,4.1E-06,5.65E-15,8.1E-12,1
cg17220933,I,1,"206,729,613",R,RASSF5,-5.8E-06,1.7E-06,-3.49,4.7E-04,0.0015,5.95E-15,8.5E-12,1
cg05339037,II,19,"13,951,168",R,,-1.9E-05,1.7E-06,-11.66,2.1E-31,4.5E-29,6.12E-15,8.7E-12,1
cg23219570,II,12,"4,488,893",R,FGF23,1.2E-05,1.8E-06,6.71,1.9E-11,4.7E-10,6.30E-15,8.9E-12,1
cg09099830,I,16,"30,485,485",R,ITGAL,-1.9E-05,2.3E-06,-8.19,2.5E-16,1.4E-14,6.44E-15,9.1E-12,1
cg13185177,II,3,"194,119,885",R,GP5,1.6E-05,3.2E-06,5.10,3.4E-07,3.0E-06,6.49E-15,9.1E-12,1
cg07413467,II,7,"92,238,086",R,CDK6,1.1E-05,3.1E-06,3.52,4.4E-04,0.0014,6.90E-15,9.7E-12,1
cg09636313,II,16,"89,070,025",F,,1.6E-05,2.7E-06,5.88,4.0E-09,5.9E-08,6.95E-15,9.7E-12,1
cg14120703,II,9,"139,416,102",F,NOTCH1,-8.2E-06,1.4E-06,-5.89,3.9E-09,5.7E-08,7.01E-15,9.8E-12,1
cg20141108,II,1,"165,907,859",R,,9.3E-06,2.0E-06,4.59,4.5E-06,2.8E-05,7.26E-15,1.0E-11,1
cg07992484,II,2,"106,724,161",R,UXS1,-9.8E-06,1.5E-06,-6.39,1.6E-10,3.3E-09,7.39E-15,1.0E-11,1
cg04944536,I,12,"116,756,890",F,,1.3E-05,1.7E-06,7.99,1.4E-15,6.8E-14,7.43E-15,1.0E-11,1
cg26242531,II,14,"104,190,678",R,ZFYVE21,1.3E-05,1.8E-06,7.25,4.0E-13,1.4E-11,7.82E-15,1.1E-11,1
cg03292675,II,8,"21,912,864",R,EPB49,-1.7E-05,2.4E-06,-6.86,7.1E-12,1.9E-10,7.83E-15,1.1E-11,1
cg17359265,II,5,"178,567,126",R,ADAMTS2,-8.2E-06,1.5E-06,-5.30,1.1E-07,1.1E-06,8.95E-15,1.2E-11,1
cg14712058,I,19,"16,988,083",R,SIN3B,-1.1E-05,1.6E-06,-6.90,5.0E-12,1.4E-10,9.05E-15,1.2E-11,1
cg03785755,II,6,"26,196,794",F,,-1.9E-05,3.9E-06,-4.84,1.3E-06,9.9E-06,9.39E-15,1.3E-11,1
cg01002722,II,7,"5,608,879",F,,5.8E-06,1.3E-06,4.44,8.9E-06,5.1E-05,9.84E-15,1.3E-11,1
cg03082813,II,3,"47,554,177",F,C3orf75,-6.8E-06,9.3E-07,-7.34,2.2E-13,7.7E-12,1.04E-14,1.4E-11,1
cg07456681,II,16,"15,146,876",R,NTAN1,1.0E-05,2.0E-06,5.13,3.0E-07,2.7E-06,1.06E-14,1.4E-11,1
cg26574777,II,13,"100,927,476",R,PCCA,5.2E-06,2.3E-06,2.23,0.0255,0.0435,1.15E-14,1.5E-11,1
cg09166091,II,2,"216,484,055",R,,7.7E-06,1.6E-06,4.79,1.7E-06,1.2E-05,1.20E-14,1.6E-11,1
cg00468395,II,16,"28,193,063",F,XPO6,-6.4E-06,1.7E-06,-3.73,1.9E-04,7.1E-04,1.21E-14,1.6E-11,1
cg07362537,II,6,"33,240,820",R,VPS52;RPS18,-9.5E-06,2.6E-06,-3.71,2.1E-04,7.7E-04,1.22E-14,1.6E-11,1
cg08825291,II,16,"16,327,241",R,NOMO3,-7.4E-06,1.5E-06,-4.92,8.6E-07,6.8E-06,1.24E-14,1.7E-11,1
cg21552014,II,3,"146,026,497",R,,7.2E-06,2.4E-06,3.05,0.0023,0.0057,1.30E-14,1.7E-11,1
cg07063068,II,14,"91,711,033",F,GPR68,-8.2E-06,1.3E-06,-6.39,1.7E-10,3.3E-09,1.31E-14,1.7E-11,1
cg25096368,II,12,"54,150,616",F,,-7.2E-06,2.1E-06,-3.52,4.3E-04,0.0014,1.32E-14,1.7E-11,1
cg21747070,I,5,"957,535",F,,-2.0E-05,3.2E-06,-6.25,4.0E-10,7.4E-09,1.34E-14,1.8E-11,1
cg13897348,II,1,"1,549,699",F,MIB2,-9.0E-06,2.2E-06,-4.17,3.0E-05,1.5E-04,1.36E-14,1.8E-11,1
cg20345915,I,10,"121,296,042",F,RGS10,-4.0E-06,1.9E-06,-2.13,0.0328,0.0539,1.36E-14,1.8E-11,0
cg18091264,II,15,"66,795,595",R,SNORD18A;RPL4;SNORD18B;SNORD16,-1.2E-05,1.9E-06,-6.31,2.7E-10,5.3E-09,1.37E-14,1.8E-11,1
cg15892280,II,21,"40,180,000",F,ETS2,-6.5E-06,1.3E-06,-5.07,3.9E-07,3.4E-06,1.40E-14,1.8E-11,1
cg12765567,II,6,"33,918,728",F,,-5.6E-06,1.6E-06,-3.52,4.3E-04,0.0014,1.40E-14,1.8E-11,1
cg09256832,II,1,"9,382,878",R,SPSB1,1.2E-05,1.8E-06,6.79,1.1E-11,2.8E-10,1.43E-14,1.9E-11,1
cg25006998,II,11,"119,897,638",F,,2.8E-06,1.9E-06,1.50,0.1343,0.1769,1.45E-14,1.9E-11,0
cg23878241,I,12,"111,019,734",R,PPTC7,-8.6E-06,1.8E-06,-4.79,1.7E-06,1.2E-05,1.50E-14,1.9E-11,1
cg22158051,II,5,"143,172,092",R,,8.8E-06,1.5E-06,5.70,1.2E-08,1.6E-07,1.52E-14,2.0E-11,1
